ORDER,NCPU,TIME,SPEEDUP,EFFICIENCY
200,1,0.085079,1.0,1.0
200,4,0.023249,3.659469,0.914867
200,16,0.146211,0.581892,0.036368
200,64,3.484659,0.024415,0.000381
400,1,0.891997,1.0,1.0
400,4,0.281392,3.169944,0.792486
400,16,0.2133,4.181889,0.261368
400,64,2.715958,0.328428,0.005132
800,1,7.637671,1.0,1.0
800,4,1.929585,3.958194,0.989548
800,16,1.715439,4.452313,0.27827
800,64,0.957641,7.975505,0.124617
1600,1,77.020568,1.0,1.0
1600,4,15.260159,5.047167,1.261792
1600,16,5.295421,14.544749,0.909047
1600,64,1.920244,40.109782,0.626715
